과자,고래밥(볶음양념맛) 55g,,70
과자,홈런볼 50g,,250
과자,쌀로랑 125g,,600
과자,감자깡(100g),,481
과자,건빵1봉(90g),,344
과자,꼬깔콘1봉(95g),,520
과자,마가렛트(100g),,480
과자,빼빼로1개(2g),,10
과자,쌀로별1봉(60g),,210
과자,애플파이 85g,,253
과자,에이스1봉(168g),,890
과자,쵸코파이1개(45g),,166
과자,켈로그 1인분(30g),,111
과자,팝콘 1봉(44g),,240
과자,죠리퐁 1봉,,370
과자,카라멜콘과 땅콩 1봉,,420
과자,고래밥(불고기맛) 55g,,75
과자,포카칩 80g,,464
과자,쌀로본 192g,,925Kcla
과자,쌀로별 80g,,425
아이스크림,부라보콘1개(70g),,150
아이스크림,쉐이크(밀크)1컵(200g),,211
아이스크림,월드콘1개(160g),,352
아이스크림,투게더(중) 1통(500ml),,483
아이스크림,엑설런트(바닐라),,617
아이스크림,붕어싸만코,,181
아이스크림,고드름 (120g),,145
아이스크림,베스킨라빈스(바닐라) 230g,,220Kcla
아이스크림,토끼와 거북이 (90g),,190
아이스크림,쉐이크(딸기)1컵(200g),,250
아이스크림,쉐이크(쵸코)1컵(200g),,234
아이스크림,파르페,,320
아이스크림,메로나 1개,,147
아이스크림,투게더(대) 1통(900ml),,872
아이스크림,엑설런트(프렌치 바닐라),,623
아이스크림,더위사냥 (130g),,125
아이스크림,스크류바 (90g),,74
아이스크림,하겐다즈(바닐라) 90g,,220
아이스크림,쿠앤크 (135g),,234
음료,게토레이(250ml),,48
음료,콜라(250ml),,100
음료,콜라(라이트) 250ml,,35
음료,커피(캔) 250ml,,112
음료,하이C (200ml),,102
음료,야쿠르트(65ml),,50
음료,요구르트 (바이오거트)100ml,,90
음료,요그린(65ml),,90
음료,우유(200ml),,125
음료,식혜(200ml),,200
음료,포카리 스웨이트(250ml),,63
음료,콜라(다이어트) 250ml,,1
음료,사이다 (250ml),,100
음료,코코아(100ml),,100
음료,환타(200ml),,105
음료,요구르트(65ml),,80
음료,요구르트 (파스퇴르)145ml,,87
음료,요플레(130ml),,130
음료,우유(쵸코) 200ml,,160
음료,수정과(200ml),,200
주류,소주(1잔-50cc),,88
주류,안동소주(1잔-50cc),,158
주류,청주(200cc),,260
주류,백포도주(마주앙) 150cc,,139
주류,과실주(50cc),,138
주류,샴페인(150cc),,66
주류,맥주(1잔-200cc),,96
주류,생맥주(500cc),,190
주류,막걸리(200cc),,109
주류,적포도주(마주앙) 150cc,,126
주류,브랜디(50cc),,140
주류,위스키(40cc),,111
빵,참치샌드위치(1인분),,564
빵,햄치즈샌드위치(1인분),,396
빵,파운드케이크(1조각),,269
빵,"카스테라(1개, 100g)",,317
